Name,State,Funding,Apps,Accepted,Enrolled,Top10,FTUG,Tuition,RmBrd,PhD,SFRatio,Alumni,Spending,Gradrate,StdScore
Stockton College of New Jersey,NJ,Public,4019,1579,710,23,4365,3040,4351,78,19.5,7,5599,64,0.590899049
College of Santa Fe,NM,Private,546,447,189,16,873,11138,4138,40,14,7,8820,80,-0.233245505
College of the Southwest,NM,Private,77,61,27,7,352,3120,3382,24,14.3,,3190,20,-1.082106626
New Mexico Highlands University,NM,Public,777,649,406,5,1630,5148,2380,72,17.4,,7664,28,-1.984747569
New Mexico Institute of Mining and Tech.,NM,Public,787,601,233,40,1017,5376,3214,99,13.7,11,9241,34,1.50376115
New Mexico State University,NM,Public,4119,3200,1663,,9673,6432,3148,76,19.6,,6106,40,-0.046687169
Western New Mexico University,NM,Public,1054,1054,470,5,1495,4652,2260,55,15.5,8,,47,-1.984747569
Univ. of New Mexico-Main Campus,NM,Public,3871,3349,1891,27,12257,7115,3516,91,14.3,,8209,34,-0.046687169
University of Nevada at Reno,NV,Public,2868,2409,1524,,5916,6490,4560,78,15.4,12,10407,54,-0.217465411
University of Nevada-Las Vegas,NV,Public,,2786,1595,25,7969,6490,4952,76,14.8,14,8139,37,-0.480054203
Sierra Nevada College,NV,Private,200,160,100,5,300,7500,4500,45,7.5,,,29,-0.896796757
Adelphi University,NY,Private,2186,1924,512,16,2683,12280,6450,29,12.2,16,10527,56,-0.08883638
Dowling College,NY,Private,1011,829,410,9,1059,9000,3100,77,12.4,7,11178,42,-1.316373108
Cazenovia College,NY,Private,3847,3433,527,9,1010,9384,4840,22,14.3,20,7697,118,-1.361283677
CUNY-Brooklyn College,NY,Public,3589,2992,1367,15,7767,5050,,83,15.6,,7581,43,-0.420612006
CUNY - City College,NY,Public,3788,2747,1269,20,8071,5050,,78,12.8,10,9002,34,-0.606730041
CUNY-Hunter College,NY,Public,6189,3212,1418,14,8140,5050,,62,14.1,28,7216,39,-0.995150286
CUNY - Queens College,NY,Public,4681,3627,1749,12,8837,5250,,100,12.5,11,7488,46,-0.493440802
Clarkson University,NY,Private,2174,1953,557,35,2332,15960,5580,95,15.8,32,11659,77,1.31109492
Colgate University,NY,Private,4856,2492,727,46,2649,19510,5565,95,10.5,45,15494,93,1.827812551
College of Mount St. Vincent,NY,Private,946,648,177,23,707,11790,5770,75,11.9,35,10015,83,0.008708983
Columbia University,NY,Private,6756,1930,871,78,3376,18624,6664,97,5.9,21,30639,99,2.686749955
Barnard College,NY,Private,2496,1402,531,53,2121,17926,8124,83,10.3,33,12580,91,2.03938288
Concordia College,NY,Private,303,198,101,10,443,9370,4330,50,9.5,,10497,53,-0.533901245
Cooper Union,NY,Private,2339,307,197,,959,,8700,67,8.1,36,18798,95,3.010433492
D'Youville College,NY,Private,866,619,157,18,1074,8920,4310,68,14.6,42,6898,46,-0.16891288
Elmira College,NY,Private,1457,1045,345,27,1109,14990,4980,77,21.5,21,7502,64,0.134136354
Fordham University,NY,Private,4200,2874,942,30,4740,14235,6965,86,14.4,14,10864,80,0.590899049
Hamilton College,NY,Private,3140,1783,454,40,1646,19700,5050,91,9.6,60,17761,91,1.246358212
Hartwick College,NY,Private,2083,1725,430,22,1464,17480,4780,75,12.3,32,11625,73,0.308116255
Hofstra University,NY,Private,7428,5860,1349,25,6534,11600,5920,81,13.9,10,10093,60,0.534290649
Houghton College,NY,Private,949,786,302,30,1210,9990,3550,85,15,24,8187,67,0.667810108
Iona College,NY,Private,4892,3530,913,13,3906,10690,6790,66,16,14,8107,66,-1.013323874
Keuka College,NY,Private,461,381,174,10,738,9600,4550,55,13.3,43,7863,51,-0.112268261
Manhattan College,NY,Private,2432,1730,563,20,2578,12370,6800,92,13.6,25,10062,79,0.307675953
Manhattanville College,NY,Private,962,750,212,21,830,14700,6550,97,11.3,24,11291,70,0.453333545
Marist College,NY,Private,4731,3171,830,12,3557,10700,5925,74,17.6,34,8408,69,0.647175804
Marymount College Tarrytown,NY,Private,478,327,117,9,731,11510,6450,71,10.3,30,10502,77,-0.420612006
Marymount Manhattan College,NY,Private,695,535,239,21,988,10200,7000,63,11.7,20,10622,68,0.331988438
Molloy College,NY,Private,481,401,185,16,1402,8800,,38,9.7,13,3822,80,-0.525809156
Mount Saint Mary College,NY,Private,1170,695,238,14,1170,7470,4600,74,15.3,23,6898,88,-0.879804415
Nazareth College of Rochester,NY,Private,947,798,266,36,1274,10850,5150,77,13.6,24,8797,61,0.63139571
New York University,NY,Private,13594,7244,2505,70,12408,17748,7262,87,7.8,16,21227,71,1.440568335
Nyack College,NY,Private,460,283,160,15,508,7950,3810,35,11.6,,9685,55,-0.471962114
Pace University,NY,Private,8256,3750,1522,37,5809,11000,5160,90,13.8,10,10059,62,-0.080744292
Polytechnic University,NY,Private,1132,847,302,58,1379,16200,4200,90,10.4,14,14329,62,1.149253151
Pratt Institute,NY,Private,1181,903,292,,1622,13975,6740,,10.8,10,13737,58,-0.145481
Rensselaer Polytechnic Institute,NY,Private,4996,4165,936,53,4291,17475,5976,94,15.4,21,15605,70,2.27898531
Roberts Wesleyan College,NY,Private,459,422,212,,932,10220,3546,45,13.4,21,7592,46,-0.221107373
Rochester Institute of Technology,NY,Private,4704,3798,1381,30,7176,13968,5670,,10.8,7,13508,68,1.184895603
Sage Colleges,NY,Private,419,170,373,,1022,,,105,8.2,,7194,64,0.041481419
Sarah Lawrence College,NY,Private,1380,768,263,57,1000,19300,6694,89,6.1,18,14779,83,1.472936689
Skidmore College,NY,Private,4293,2728,591,25,2322,18710,5970,87,12.7,29,14837,81,1.051780226
Siena College,NY,Private,2961,1932,628,24,2669,10800,5100,71,14.1,42,8189,100,0.700178462
St. Bonaventure University,NY,Private,1489,1313,375,13,1688,10456,4927,91,17.7,32,9828,78,0.740234821
St. John Fisher College,NY,Private,1368,1064,354,19,1687,10570,5600,86,14.5,29,7908,66,0.065757684
St. John's University,NY,Private,7775,2836,2412,,11785,9400,,72,29.3,,7435,65,-0.291138591
St. Joseph's College,NY,Private,707,512,222,17,1671,7350,,52,13.6,21,5961,74,-0.811021663
St. Lawrence University,NY,Private,2753,1820,505,31,1801,18720,5730,90,11.5,38,14980,85,0.930766763
St. Thomas Aquinas College,NY,Private,861,609,215,10,1117,8650,5700,69,16.1,13,6534,67,-1.156992055
SUNY at Albany,NY,Public,13528,9198,1843,16,10168,6550,4355,93,17.4,16,9075,74,0.955043028
SUNY at Binghamton,NY,Public,14463,6166,1757,60,8544,6550,4598,83,18,15,8055,80,1.480256831
SUNY at Stony Brook,NY,Public,12512,6969,1724,27,9744,6550,4712,91,10.5,7,13705,57,0.307675953
SUNY College  at Brockport,NY,Public,7294,3564,904,7,5758,6550,4460,79,19,14,6632,49,-0.087991996
SUNY College at Buffalo,NY,Public,5318,3515,1025,8,7626,6550,4040,71,18.7,12,7511,42,-0.841400605
SUNY College at Cortland,NY,Public,7888,3519,1036,6,5011,6550,4680,82,17.8,17,5563,53,0.235287459
SUNY College at Fredonia,NY,Public,4877,2798,814,13,4123,6550,4420,82,16.3,10,6442,66,0.287886034
SUNY College at Geneseo,NY,Public,8598,4562,1143,56,5060,6550,4170,79,19.1,25,5716,76,1.484302875
SUNY College at New Paltz,NY,Public,8399,3609,656,19,4658,6550,4240,85,15.3,8,6608,53,0.558566914
SUNY College at Oneonta,NY,Public,7500,4350,872,,4627,6550,4952,70,17.1,13,6111,60,-0.007071112
SUNY College  at Oswego,NY,Public,8000,4556,1464,17,6943,6550,4810,69,22,21,5280,63,0.615211533
SUNY College at Plattsburgh,NY,Public,5549,3583,853,9,5004,6550,4176,80,17.9,16,6174,65,0.025297242
SUNY College at Potsdam,NY,Public,3150,2289,650,16,3598,6840,4660,71,15.1,17,6436,59,0.461865935
Utica College of Syracuse University,NY,Private,1278,978,256,,1525,12680,4924,64,12.3,7,8344,65,0.997969403
Union College,NY,Private,3495,1712,528,49,1915,18732,6204,94,11.5,49,15411,88,2.27898531
United States Military Academy,NY,Public,13703,1610,1212,59,4229,,,37,8.8,,46477,95,2.122769697
Vassar College,NY,Private,3550,1877,653,53,2164,18920,5950,90,9.7,39,17089,90,1.997746409
Wagner College,NY,Private,1416,1015,417,10,1324,13500,5800,67,13.2,23,9006,75,0.178202538
Wells College,NY,Private,318,240,130,40,416,14900,5550,93,8.3,42,13935,69,0.817513744
Yeshiva University,NY,Private,1002,857,606,,1948,12584,4192,86,5.2,38,22724,63,1.667146811
CUNY-York College,NY,Public,1432,1432,706,5,3932,5050,,75,18.9,,5383,26,-1.755806599
Long Island University at Brooklyn,NY,Private,3292,1317,707,,3520,10258,5570,75,21.6,,,61,-1.116531612
SUNY College at Purchase,NY,Public,2119,1264,390,5,2478,6550,4760,80,14.9,8,8170,46,-0.129296823
CUNY-Lehman College,NY,Public,1897,1384,768,9,4890,5050,,80,15.3,1,7177,30,-1.537320211
SUNY at Buffalo,NY,Public,15039,9649,3087,36,13963,6550,4731,90,13.6,15,11177,56,0.679912021
CUNY- Medgar Evers College,NY,Public,1289,1289,644,1,2343,2600,,64,16.5,,6324,36,-2.492186647
New School for Social Research,NY,Private,1914,1190,634,,2609,14710,8020,69,10.2,9,13578,59,0.979319294
CUNY-College of Staten Island,NY,Public,2170,2170,1433,9,5949,5050,,71,17.6,1,6154,48,-0.995150286
Ashland University,OH,Private,1454,1267,424,20,1874,11431,4684,43,17.4,,9090,66,-0.702586635
Baldwin-Wallace College,OH,Private,1690,1366,662,30,2718,10995,4410,68,17.6,20,8086,85,0.287886034
Bluffton College,OH,Private,692,514,209,20,760,9900,3990,76,13.3,19,9073,58,0.186734928
Bowling Green State University,OH,Public,9251,7333,3076,14,13699,7452,3352,81,21.1,14,6918,67,-0.112268261
Capital University,OH,Private,1747,1382,449,34,1662,13050,4000,64,12.1,27,9557,83,0.340924911
Cedarville College,OH,Private,1307,1090,616,25,2196,7344,4410,50,15.3,34,6897,64,0.534290649
Cleveland State University,OH,Public,2407,2296,1304,5,7749,6462,,91,18.5,6,7649,35,-0.896392675
College of Mount St. Joseph,OH,Private,798,620,238,14,1165,9800,4430,46,11.1,35,6889,100,-0.411271451
Franciscan University of Steubenville,OH,Private,553,452,228,22,1301,9650,4400,57,14.9,8,6336,83,0.510014383
College of Wooster,OH,Private,2100,1883,553,29,1704,16240,4690,84,11.1,43,14140,69,0.898434629
Defiance College,OH,Private,571,461,174,10,645,10850,3670,58,12.8,19,7505,56,-0.819921917
Heidelberg College,OH,Private,738,687,241,20,964,13780,4410,68,12.5,,9268,65,-0.217465411
Hiram College,OH,Private,922,729,244,37,1000,14067,4560,75,10.6,34,12165,79,0.696132418
John Carroll University,OH,Private,2421,2109,820,27,3168,11700,5550,89,14.5,28,7738,89,0.554924952
Kent State University,OH,Public,9210,3040,7425,10,15615,7854,3666,81,20.8,,6397,46,-0.548836954
Kenyon College,OH,Private,2212,1538,408,44,1445,19240,3690,95,11.1,46,14067,88,1.734753534
Lourdes College,OH,Private,57,55,32,17,435,6992,,17,9.6,8,7256,46,-1.209523409
Malone College,OH,Private,874,758,428,21,1605,9858,3700,42,17.6,16,4796,55,-0.443639805
Mount Union College,OH,Private,1310,1086,458,26,1365,12250,3530,85,16.7,35,7215,81,0.340924911
Muskingum College,OH,Private,1109,922,375,24,1115,13240,3914,73,13.4,27,9333,73,-0.193189146
Oberlin College,OH,Private,4778,2767,678,50,2587,19670,5820,77,10.1,47,16593,83,2.34894409
Ohio Northern University,OH,Private,2936,2342,669,35,2502,15990,4080,73,14.5,31,9979,83,0.518106472
Ohio University,OH,Public,11023,8298,3183,21,14861,7629,4095,79,20.4,13,8811,64,0.465507897
Ohio Wesleyan University,OH,Private,2190,1700,458,36,1780,16732,5650,93,12.1,32,12011,75,1.104378801
Otterbein College,OH,Private,1496,1205,428,26,1648,12888,4440,62,13.9,30,8802,87,0.72853699
Tiffin University,OH,Private,845,734,254,5,662,7600,3800,59,19,40,5096,39,-1.769934144
University of Akron,OH,Public,6305,5190,3211,,12487,7650,3844,71,16.7,18,6025,43,-0.76691926
University of Cincinnati,OH,Public,6855,5553,2408,26,11036,8907,4697,89,10.8,6,13889,54,0.287886034
University of Dayton,OH,Private,6361,5293,1507,26,5889,11380,4220,81,14.8,25,8894,93,1.019411872
University of Toledo,OH,Public,3055,2959,1527,,15428,7441,3719,81,20.4,5,6124,48,-0.47965012
Ursuline College,OH,Private,325,260,86,21,699,9600,4202,39,10.5,15,7164,68,-0.743047077
Walsh University,OH,Private,1092,890,477,27,847,8670,4180,42,11.3,33,5738,68,-0.046687169
Wittenberg University,OH,Private,1979,1739,575,42,1980,15948,4404,82,12.8,29,10414,78,1.096286713
Xavier University,OH,Private,1959,1805,695,24,2849,11520,4960,73,13.3,31,9189,83,0.47764603
Youngstown State University,OH,Public,3297,2903,1907,13,9633,4536,3675,71,18,1,5483,50,-0.821911329
Mount Vernon Nazarene College,OH,Private,510,485,334,18,1114,7400,3346,57,19.8,7,6869,58,-0.046687169
Antioch University,OH,Private,713,661,252,25,712,15476,3336,69,11.3,35,42926,48,0.510014383
Southern Nazarene University,OK,Private,538,538,319,,1317,6293,3717,65,20.8,,6388,44,-0.434299249
Cameron University,OK,Private,1782,1695,1238,15,3302,4017,2400,55,19.9,,3823,36,-1.209523409
University of Central Oklahoma,OK,Public,3398,3191,1326,9,7517,1928,2150,65,22.8,,3709,31,-0.434299249
Northeastern State University,OK,Public,1378,1182,,,4952,2280,2280,62,20.2,,3964,25,-0.434299249
Oklahoma Baptist University,OK,Private,758,681,484,35,1707,5390,3140,63,15.1,18,5511,50,0.72853699
Oklahoma Christian University,OK,Private,776,765,351,22,1419,6400,3150,58,16.2,8,6578,45,-0.217465411
Oklahoma City University,OK,Private,940,653,275,30,1613,,,59,14.6,13,7454,40,0.429497582
University of Sci. and Arts of Oklahoma,OK,Public,285,280,208,21,1140,3687,1920,67,23.6,3,3864,43,-0.821911329
Oklahoma State University,OK,Public,4522,3913,2181,29,12830,5336,3344,84,15.3,14,6433,48,0.562612958
Oklahoma Panhandle State University,OK,Public,350,343,251,8,1117,3274,1800,58,18.1,,4572,29,-0.821911329
Phillips University,OK,Private,692,576,174,19,597,10500,3860,58,11.6,19,8990,39,-0.346938826
Southeastern Oklahoma State Univ.,OK,Public,818,700,447,20,2962,3738,2619,55,19.6,9,4444,53,-0.821911329
University of Oklahoma,OK,Public,4743,3970,2233,32,13436,5173,3526,86,11.5,11,10244,44,0.72853699
University of Tulsa,OK,Private,1712,1557,696,41,2936,11750,4160,94,11.5,10,11743,47,0.902480673
Oral Roberts University,OK,Private,1223,650,632,13,2645,7950,3994,51,15.5,,7885,45,0.340484609
Western Baptist College,OR,Private,259,219,118,,513,9200,4000,23,16.8,14,7269,51,-1.092255347
Concordia College,OR,Private,299,206,81,26,811,9600,3150,56,14.3,,5976,41,-0.879804415
George Fox College,OR,Private,809,726,294,27,1271,12500,4130,53,13.5,22,7136,52,-0.064560115
Linfield College,OR,Private,1561,1188,458,48,1548,13380,4210,89,17.8,34,8747,81,0.893984502
Oregon State University,OR,Public,4675,3948,1637,,10332,7890,3444,88,13.9,,9383,45,-0.035393421
Oregon Institute of Technology,OR,Public,491,447,271,,1774,8676,3560,20,14.7,,7556,41,-0.525809156
Pacific University,OR,Private,943,849,288,41,1041,14210,3994,76,10.9,22,11216,42,0.578797135
Portland State University,OR,Public,1623,1574,837,,6194,,4365,78,20,18,6618,24,-0.298386295
Reed College,OR,Private,1966,1436,327,47,1199,19960,5490,90,11.8,37,15886,68,2.219874758
University of Portland,OR,Private,1758,1485,419,27,2041,12040,4100,92,13.2,17,9060,72,0.267215511
Warner Pacific College,OR,Private,112,87,53,,503,7940,4032,39,12.9,,7516,29,-0.593343441
Willamette University,OR,Private,1658,1327,395,49,1595,14800,4620,91,13.3,37,10779,68,1.092240668
Albright College,PA,Private,1038,839,227,30,973,15595,4400,79,11.3,23,11644,80,0.586889224
Alvernia College,PA,Private,707,614,168,10,801,8374,4000,42,10.8,12,6100,72,-1.316373108
Beaver College,PA,Private,1163,850,348,23,878,12850,5400,78,12.2,30,8954,73,-0.024099673
Bryn Mawr College,PA,Private,1465,810,313,71,1088,18165,6750,100,12.3,49,17449,89,2.363066417
Cabrini College,PA,Private,599,494,224,8,1035,10518,6250,59,16.5,36,7117,71,-0.930413578
Carnegie Mellon University,PA,Private,8728,5201,1191,60,4265,17900,5690,86,9.2,31,24386,74,2.215828714
Cedar Crest College,PA,Private,776,607,198,25,791,14340,5285,58,11.7,39,10961,74,-0.249429682
Chatham College,PA,Private,212,197,91,28,471,13500,5230,95,9.3,37,16095,52,-0.007071112
Chestnut Hill College,PA,Private,342,254,126,25,518,10335,5015,71,8.3,29,7729,73,0.000176592
Delaware Valley College,PA,Private,1383,1199,435,15,1380,11645,4530,,19.3,26,6970,65,-0.444888272
Drexel University,PA,Private,3451,2934,1118,23,5306,12348,6180,,13.1,18,9583,61,0.380504749
Eastern College,PA,Private,458,369,165,16,1057,11190,4800,60,13.6,22,8135,54,0.020847115
Elizabethtown College,PA,Private,2417,1843,426,36,1476,14190,4400,65,12.8,25,9815,81,0.566622783
Franklin and Marshall College,PA,Private,3270,2120,508,46,1748,24940,,93,10.9,34,15797,86,1.286046708
Gannon University,PA,Private,2464,1908,678,24,2693,10970,4280,47,13.3,18,7711,65,0.227195371
Geneva College,PA,Private,668,534,237,19,1306,9476,4820,67,20.1,26,6786,74,-0.047531554
Grove City College,PA,Private,2491,1110,573,57,2213,5224,3048,65,18.4,18,4957,100,1.657878694
Gwynedd Mercy College,PA,Private,380,237,104,30,716,11000,5550,36,7.8,22,7483,96,0.016360769
Immaculata College,PA,Private,268,253,103,16,494,10000,5364,56,11.2,33,7305,69,-0.954689844
Indiana University of Pennsylvania,PA,Public,6373,3264,1625,19,11375,7352,2906,77,20.6,20,6760,63,-0.218309795
Juniata College,PA,Private,1005,859,298,36,1075,14850,4460,97,12.7,37,12067,80,0.801293348
King's College,PA,Private,1456,1053,381,20,500,10910,5160,66,15.6,37,7649,87,-0.072652204
La Salle University,PA,Private,2929,1834,622,20,2738,12600,5610,90,15.1,9,9084,84,0.663727845
Lebanon Valley College,PA,Private,1386,1060,320,28,965,13850,4755,84,12.3,30,8196,85,0.162018361
Lincoln University,PA,Public,1660,1091,326,15,1196,4818,3400,71,12.6,8,10912,45,-1.569688565
Lycoming College,PA,Private,1286,1005,363,16,1363,13900,4300,75,14,32,8024,72,-0.31416639
Marywood College,PA,Private,1107,859,323,13,1452,11040,4500,65,11.8,30,9034,66,-0.396335741
Messiah College,PA,Private,1742,1382,607,30,2258,10300,5080,68,14.1,30,7762,89,0.679948241
Muhlenberg College,PA,Private,2519,1836,462,30,1656,16975,4565,76,12.8,39,10888,83,0.781099346
Widener University,PA,Private,2139,1492,502,24,2186,12350,5370,88,12.6,19,9603,63,-0.232841423
Bloomsburg Univ. of Pennsylvania,PA,Public,6773,3028,1025,15,5847,7844,2948,66,18,19,7041,75,0.17011045
California University of Pennsylvania,PA,Public,2746,1505,1028,14,4787,6312,2940,53,16.3,,6912,58,-1.310741735
East Stroudsburg University of Penn.,PA,Public,3812,2227,818,4,3947,,3256,66,19.4,,7839,54,-0.582453775
Kutztown University of Penn.,PA,Public,5880,2840,1136,12,5866,8285,2970,58,19.4,,6552,57,-0.08883638
Lock Haven University of Pennsylvania,PA,Public,3570,2215,651,17,3390,7352,3620,47,16.1,14,6374,63,0.016360769
Millersville University of Penn.,PA,Public,6011,3075,960,22,5146,7844,3830,72,16.8,20,7832,71,0.372412661
Shippensburg University of Penn.,PA,Public,5818,3281,1116,14,5268,7844,3504,80,18.8,13,6719,72,0.234847157
West Chester University of Penn.,PA,Public,6502,3539,1372,11,7484,7844,4108,76,15.3,16,6773,52,-0.185941442
University of the Arts,PA,Private,974,704,290,5,1145,12520,3860,16,7.5,9,11641,57,-0.590545864
Philadelphia Coll. of Textiles and Sci.,PA,Private,1538,1259,468,19,1664,11690,5062,48,12.9,15,8028,68,-0.307322768
Point Park College,PA,Private,875,744,207,7,1173,9700,4830,45,14.5,10,7652,66,-0.7268629
Robert Morris College,PA,Private,907,771,387,,2621,6540,4326,58,18.5,7,5266,58,-0.876162454
Saint Joseph's University,PA,Private,2519,2003,776,39,2473,12750,6350,84,17.4,13,8243,83,0.590899049
Swarthmore College,PA,Private,3203,1255,413,81,1387,19124,6584,93,8.8,58,23975,95,2.702934132
Temple University,PA,Public,7987,5145,2399,15,14726,10096,5282,87,11.2,,12231,45,-0.04028385
Thiel College,PA,Private,1154,951,253,15,791,11172,4958,68,11.6,16,9186,60,-0.839748056
University of Pennsylvania,PA,Private,12394,5232,2464,85,9205,17020,7270,95,6.3,38,25765,93,2.571476523
University of Pittsburgh-Main Campus,PA,Public,8586,6383,2503,25,13138,10786,4560,93,7.8,10,13789,66,0.396688926
University of Scranton,PA,Private,4471,2942,910,29,3674,11584,5986,83,14.1,41,9131,92,0.825569613
Ursinus College,PA,Private,1399,1026,308,44,1131,14900,5160,82,11.6,40,12082,79,0.898398409
Villanova University,PA,Private,7759,5588,1477,30,6362,15925,6507,89,13.4,24,10458,96,1.286818655
Westminster College,PA,Private,996,866,377,29,1411,12065,3615,62,12.5,41,8596,80,0.493830206
Wilson College,PA,Private,167,130,46,16,199,11428,5084,67,8.3,43,10291,67,-0.307322768
York College of Pennsylvania,PA,Private,2989,1855,691,28,2988,4990,3560,75,18.1,28,4509,99,0.145834184
Allentown Coll. of St. Francis de Sales,PA,Private,1179,780,290,38,1130,9690,4785,60,13.3,21,7940,74,0.137742096
La Roche College,PA,Private,361,321,185,10,650,8842,4782,57,14.2,14,7022,52,-1.456399327
Pennsylvania State Univ. Main Campus,PA,Public,19315,10344,3450,48,28938,10645,4060,77,18.1,19,8992,63,0.930766763
Clarion University of Pennsylvania,PA,Public,2740,2497,1188,,4828,7844,2924,61,19.2,19,5556,63,-0.873768959
Brown University,RI,Private,12586,3239,1462,87,5643,19528,5926,99,7.6,39,20440,97,2.482867632
Bryant College,RI,Private,2198,1786,632,15,2556,12600,6410,84,19,,8353,82,0.121557919
Providence College,RI,Private,5139,3346,973,20,3717,14400,6200,66,18.4,35,8135,96,0.776649219
Rhode Island School of Design,RI,Private,1831,842,379,17,1846,16684,6672,27,10,22,11622,96,0.736556641
Salve Regina University,RI,Private,1475,1257,362,7,1393,14200,6500,64,9.6,21,9232,71,-0.752387633
University of Rhode Island,RI,Public,9643,7751,1968,12,8894,10330,5558,84,16.6,7,9158,63,-0.032191761
Roger Williams University,RI,Private,3304,2804,679,10,2111,12520,6050,44,16.4,8,7957,61,-0.865676871
Charleston Southern University,SC,Private,1199,904,397,,1533,7730,3170,60,19.2,,5825,39,-0.169757265
Central Wesleyan College,SC,Private,174,146,88,8,1047,8300,3080,62,15.2,18,3365,58,-1.425616302
Clemson University,SC,Public,8065,5257,2301,37,11755,8116,3610,82,18,17,7597,73,0.679912021
Coker College,SC,Private,604,452,295,15,690,9888,4502,64,12.1,39,8741,75,-0.550085422
College of Charleston,SC,Public,4772,3140,1265,22,6851,6120,3460,73,17.2,18,4776,51,0.183092967
Columbia College,SC,Private,737,614,242,21,968,10425,3975,61,14.7,34,8693,76,-0.606730041
Erskine College,SC,Private,659,557,167,47,532,10485,3840,76,13.5,47,7527,67,0.372412661
Furman University,SC,Private,2161,1951,685,56,2371,13440,4048,92,13.5,28,12940,82,1.165437328
Lander University,SC,Public,1166,1009,510,9,2074,4938,2987,67,17,11,6119,51,-1.23140618
Newberry College,SC,Private,872,722,154,14,601,10194,2600,57,11.4,32,5788,83,-0.750735083
Presbyterian College,SC,Private,1082,832,302,34,1133,11859,3635,80,13.4,42,8354,85,1.286046708
University of South Carolina at Columbia,SC,Public,7693,5815,2328,30,12594,8074,3522,84,16.9,18,8246,63,0.045527463
University of South Carolina at Aiken,SC,Public,848,560,377,14,1855,5800,3066,62,14.8,3,5035,48,-0.471962114
Voorhees College,SC,Private,1465,1006,188,10,703,4450,2522,43,22.9,3,5861,58,-2.391812706
Winthrop University,SC,Public,2320,1805,769,24,3395,6400,3392,71,12.8,26,6729,59,-0.725650652
Wofford College,SC,Private,1501,935,273,51,1059,12680,4150,91,15.3,42,7875,75,0.821559788
Univ. of South Carolina at Spartanburg,SC,Public,885,553,381,13,2207,5739,,70,15.9,13,5307,38,-1.001185742
Francis Marion University,SC,Public,1801,1655,819,13,3224,5840,3138,76,19.1,8,5039,43,-1.059886993
Dakota Wesleyan University,SD,Private,342,182,135,12,538,7540,2710,38,11.4,,7334,75,-0.821911329
Dakota State University,SD,Public,385,358,229,5,988,3222,2604,47,19.4,,5291,35,-0.821911329
Mount Marty College,SD,Private,279,276,126,17,600,6844,2980,45,11.7,38,5073,44,-0.821911329
Northern State University,SD,Public,2056,2054,2054,10,2239,3437,2202,68,20.2,,5252,54,-0.821911329
Sioux Falls College,SD,Private,437,400,211,13,614,8990,3064,73,14.8,7,7881,48,-0.046687169
South Dakota State University,SD,Public,2807,2589,1701,13,7000,3811,2190,62,15,29,5084,67,0.340924911
Austin Peay State University,TN,Public,2863,2154,1179,,4772,5550,2930,66,18.2,8,5087,36,-0.434299249
Belmont University,TN,Private,1220,974,481,28,1964,7800,3664,61,11.1,19,7614,49,0.542382737
Carson-Newman College,TN,Private,1096,951,464,27,1776,8150,3150,61,13.6,16,6716,67,0.340924911
Christian Brothers University,TN,Private,880,520,224,16,1068,9300,3260,81,11.1,24,8129,63,0.534290649
David Lipscomb University,TN,Private,1239,1134,611,,1957,5775,3340,97,16.2,12,8048,73,0.219103282
East Tennessee State University,TN,Public,3330,2730,1303,15,6706,5800,3000,73,14,9,9825,42,-0.694494546
Fisk University,TN,Private,1078,720,226,24,850,6240,3690,74,12.5,22,6911,43,-0.569067176
Freed-Hardeman University,TN,Private,895,548,314,20,1174,5500,3340,68,16.1,13,6078,62,-0.124406394
Lambuth University,TN,Private,831,538,224,15,840,5170,3430,61,16.1,10,5531,60,-0.046687169
Lee College,TN,Private,651,498,453,,1831,4788,3320,42,18.5,5,4914,52,-0.427455628
Lincoln Memorial University,TN,Private,787,562,363,21,925,5950,2890,67,14.6,35,5177,53,0.340924911
Maryville College,TN,Private,1464,888,176,26,624,11200,4208,80,11.1,43,8317,51,0.109860088
University of Memphis,TN,Public,3921,2557,1691,,10621,5908,2500,77,16.9,11,6578,33,-0.046687169
Middle Tennessee State University,TN,Public,4587,3423,2132,,12541,5550,2352,69,19.2,10,4902,39,-0.516064518
Milligan College,TN,Private,610,461,189,26,685,8200,3300,63,12,16,8128,64,0.340924911
Tennessee Wesleyan College,TN,Private,232,182,99,7,402,7070,3640,59,8.9,16,6286,36,-1.243948395
Tusculum College,TN,Private,626,372,145,12,983,7700,3400,70,21.9,28,4933,52,-1.324869279
University of Tennessee at Chattanooga,TN,Public,2091,1338,991,,5359,5800,3304,76,16.8,,6339,39,-0.046687169
University of Tennessee at Knoxville,TN,Public,7473,5372,3013,27,15749,5764,3262,86,16.5,22,8612,53,0.271701857
University of Tennessee at Martin,TN,Public,1934,1500,1123,,4669,5832,2890,68,19.6,10,5396,48,-0.046687169
University of the South,TN,Private,1445,966,326,46,1129,15350,4080,89,10.3,52,18784,82,1.714523313
Vanderbilt University,TN,Private,7791,4690,1499,71,5500,17865,6525,93,5.8,26,23850,83,2.074217166
Abilene Christian University,TX,Private,1660,1232,721,23,2885,7440,3300,70,18.1,12,7041,60,-0.046687169
Angelo State University,TX,Public,3540,2001,1016,24,4190,5130,3592,60,23.1,5,4010,34,-0.096084084
Austin College,TX,Private,948,798,295,42,1120,11280,4342,81,13,33,11361,71,0.704224506
Concordia Lutheran College,TX,Private,232,216,106,16,534,6900,3800,67,12.1,9,6875,42,-0.803333658
